"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1087875.796","12264016.6348","1300000","130502793.296089","184748603.351955","-36983240.2234637","-17932960.8938547","-73184357.5418994","-5530726.25698324","85027932.9608939","197821229.050279","113463687.150838","467541899.441341","-127932960.893855","-266927374.301676","332513966.480447","159776536.312849","-105698324.022346","-207798005.868163","220316139.723839","-471005586.592179","18882681.5642458","-10614525.1396648","186759776.536313","488156424.581006","-314692737.430168","226371388.826816","250618094.972067","-28775856.424581","27551267.6251579","162463551.517038","135921173.407329","-75226540.6843182","",
"Africa Eastern and Southern","AFE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","421709866.1601","326490932.5561","218888245.8811","176559139.1134","898515563.506739","316834707.784757","411261083.013661","67103622.406923","168439069.621513","-12312370.0531044","483620276.664599","372130053.632138","581698643.895738","86246455.0162176","598858245.285658","106432296.555464","411045300.903155","279804684.153772","536594623.832505","400488556.209831","88673056.9135137","1241968645.47255","652324966.217141","839509671.985947","1187864670.17484","2662958896.26387","2087426790.47505","5757027922.7158","4121573935.4843","6254803630.78533","4315007316.50414","12205013827.2178","6464121933.0468","8555149192.36714","7979691821.70791","10333884246.5965","7234542919.76367","16122295356.7517","22483229907.3115","18484266803.809","13934880233.3017","17538697878.8134","24636336183.987","21534243340.2667","27681416018.191","28774225014.3217","16842050894.0471","9898315778.29867","15411991492.4041","14415940258.1561","",
"Afghanistan","AFG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","230000","450000","150000","270000","","","40000","-240000","","1200000","9000000","180000","100000","0","0","0","0","400000","0","0","10","-280000","360000","-20000","20000","-93326.6667","690000","-1460000","-10000","6040000","170000","680000","50000000","57800000","186900000","271000000","238000000","188690000","46033740","56107246.5","190774431.98","52173421","56823660","48311346","42975262.5","169146608","93591315.3","51533896.765","119435105.715177","23404553.647249","",
"Africa Western and Central","AFW","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","407460000","388680000","476660000","642410000","518269117.986841","969105150.570566","605378805.79715","778790475.226175","751399198.653945","785673507.757542","-228089204.702763","1172896062.26749","878530340.493694","768217164.303354","338951391.308596","893620026.89566","204429670.658956","1037919132.58478","973621876.751453","2569136447.96858","1073307823.84209","837652709.543207","1214631404.14046","1757936795.70388","2389930550.92035","945428066.428241","1182474450.29355","1622432324.98045","1897977339.37955","2391072130.34749","2560188711.70633","3224274418.9861","4407637343.84873","5261510987.4887","4653437666.60881","9277747003.76648","9200902070.01874","13028503359.7508","16308512123.4418","18152376750.437","18973826734.8894","24500018445.3495","20912706088.2504","19156931890.943","16593990870.7605","15641341151.9718","13936765397.9224","17661035767.7981","15501756239.891","16780327092.1348","",
"Angola","AGO","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","2400000","1860000","2160000","7540000","6690000","50000","-1170000","","1870000","2000000","37420000","49050000","115810000","104330000","67140000","278000000","234000000","119000000","131000000","200000000","-334800000","664500000","287956000","302100000","170300000","472427000","180559000","411660000","1113970000","2471460000","878620000","2145470000","1743504000","3576971780","2197227820","-1303836930","-37714860","-893342152","1678971010","2205298180","-3227211182.45","-3023770965.83688","-1464627990.88284","-7120017424.4614","3657514667.49327","10028215162.6394","-179517618.92","-7397295409.18991","-6456076413.12033","-4098478747.63755","",
"Albania","ALB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","20000000","58000000","53000000","70000000","90100000","47500000","45010000","41200000","143000000","207300000","135000000","178036400.666667","341285112.537562","262479012.637464","325138316.803697","652275603.722803","1247181714.30558","1345415233.65622","1089898207.57431","1048706682.05458","917994575.801863","1254150555.51294","1149927985.77737","989578334.828609","1044389554.85795","1022757857.07377","1204383363.60476","1201022154.46645","",
"Andorra","AND","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","489810000","47852734.621803","267977643.802819","-691490283.610253","-3399182606.66216","1474964060.69274","406538235.321491","924430387.242687","638527391.115861","-137420541.760675","-3211683186.23158","7107307475.63002","11797986204.5714","5637820865.84215","6253971511.46118","2022484766.32151","2333917876.12081","12216556.8856191","1628746427.10903","1312830828.2652","3053835681.97421","2123621591.05693","3477597028.79316","4331542878.68597","4909888144.10083","299885485.775065","3662695409.01061","8973444816.9066","9641399373.74475","2881569838.6208","3840491004.48051","8899597181.61721","6159576371.48934","14595586407.2873","21370176446.527","46048851171.5333","69481323909.8279","81836608644.2059","88751312329.5155","76654497097.8896","70001315696.3403","44868032639.3939","50079903885.9308","41259115295.2229","31042743759.6946","25507493630.7524","32582348457.755","30063429264.3078","33762588205.225","33628125377.9832","",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","7780000","6940000","10510000","3410000","1630000","15950000","49430000","112240000","39120000","64580000","97640000","-16940000","95060000","45540000","170240000","-220960000","110210000","46720000","188890000","38790000","-115820000","25940000","129720000","401320000","62460000","399850000","300520000","232430000","257660000","-985340000","-506330000","1183840000","95300000","4255956432.9476","10003500000","10899931926.4806","12805990469.7073","14186521443.1586","5062972004.8","1134288135.2","8796769640.5","7152095825.6","9566651351","9764914527.3","11071537020","8550901846.5","9604772999.9","10354223000","10385286000","13787465940.0545","",
"Argentina","ARG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","89770000","125670000","71720000","100250000","17920000","55590000","244680000","144000000","250000000","206000000","678000000","837000000","227000000","185000000","268000000","919000000","574000000","-19000000","1147000000","1028000000","1836000000","2439000000","4430977523.08014","2793085410.09827","3634931878.26435","5609423403.56467","6948536686.64725","9160272052.4446","7290657132.08156","23987696389.6428","10418314339.1428","2166136829.76399","2148910000","1652010000","4124710000","5265250000","5537347786.19331","6473157762.12915","9725553129.52469","4017158924.88408","11332718626.4345","10839930944.6815","15323933916.8241","9821661858.15874","5065335541.96486","11758994011.286","3260164341.77393","11516861462.2845","11716769818.7543","6663062111.95629","",
"Armenia","ARM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400000","800000","8000000","25320000","17570000","51940000","232375000","122034000","104188500","69868500","110725325.614409","122852992.703235","247140608.495888","292073220.164722","466531991.901724","667671562.134495","943733059.483284","760040745.87233","529321391.641959","653219756.47225","496636701.129687","346092394.393256","406578406.693112","184127986.314895","333733314.104601","250935110.239139","266824955.528034","100946084.083517","",
"American Samoa","ASM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","2200000","-6900000","8500000","19600000","22400000","23000000","5000000","4400000","15600000","22600000","38596296.2962963","32951851.8518519","43107407.4074074","60607407.4074074","54792592.5925926","19648148.1481481","15240740.7407407","24788888.8888889","31485185.1851852","19351851.8518519","22944444.4444444","22774074.0740741","51792533.3333333","43115925.9259259","98452222.2222222","65865064.8148148","166321143.703704","80366585.1851852","220963374.074074","358820163.703704","338204733.333333","158783774.444445","80646652.5925926","96679207.7777778","65160596.2962963","129367138.888889","134288999.62963","46263101.049287","114024660.121814","97431976.4735789","156934594.922172","135127898.770161","139466666.6667","",
"Australia","AUS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","893138535.5869","1155158059.0164","1054014675.1274","135039666.1251","1327729911.6328","449028697.2539","1047313646.6068","1141019599.1462","1676855615.2915","1489983132.8991","1866223965.094","2346546543.0957","2286321730.3013","2990964045.369","428250491.435","2098624894.3704","5369760088.7718","5190522203.0836","8476377245.2751","8023170406.83781","8457776859.55028","2612066526.44483","4941906671.70674","5312435141.58877","4458484243.65442","13268875155.4923","4563952446.39275","8088068982.50254","7597610928.17343","2210917991.82997","14892978180.1828","10717133150.6924","14656321800.5386","8985246029.5004","42907672820.3756","-25093141435.1896","30551100656.5983","44440090037.7723","45160024270.9395","28683266147.8801","35210733743.0829","65554890649.5348","57550426822.6138","53997299139.8889","63195482811.6136","46892808567.8516","42969505135.1666","47281951027.069","61526702742.3641","40197032576.9386","",
"Austria","AUT","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","112650000","142730000","145400000","160760000","177050000","79110000","91230000","96810000","142390000","187430000","239300000","327520000","207920000","216120000","115240000","169167935.4262","183400907.8345","395491398.0621","445427083.5864","581979789.4291","653000000","360000000","1485518379.9","1125106168","2075823025.36","1825089897.18","4323515256.75","2668974480.4","4571855469.05","2974499987.7481","8501013451.2622","5689434546.447","138346430.7562","6195021861.4636","3183649649.5378","81096089418.1187","10500457158.3387","68865787583.4398","6301143681.98313","14300064389.0078","-22007325156.2771","22983942931.9264","5218620112.78226","451107665.23086","1712175273.93122","-7975773543.9206","-28939340169.0264","13518864836.285","-28555242263.4249","-8100275768.26291","",
"Azerbaijan","AZE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22000000","330050000","627277000","1114838000","1022967000","510317000","129937000","819579000","2024577000","4007330000","4719107000","4476396000","4485966000","4594234000","3986807000","2900030000","3352997000","4485120000","5293250000","2619437000","4430466000","4047630000","4499666000","2867487000","1402998000","1503918000","",
"Burundi","BDI","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","100000","","410000","440000","220000","320000","80000","-250000","890000","-300000","4600000","11080000","900000","3040000","1190000","538566.543006104","1524028.63247118","1367714.12346925","1196623.81138929","567226.890756301","1255434.74294","892500.106741913","600088.333002617","473679.874783755","3957.84890911789","1981922.46479085","0","0","0","-475191.305312188","11683246.0769","-11440.9127038289","0","0","44690.7076028704","584701.692574561","31593.7781888499","500245.093059071","3833208.34759484","348404.534569828","780582.003631939","3354999.1805922","604919.651526489","116727136.517749","81747197.2345183","49622865.7705811","55420.3566564864","316473.449369742","983747.12499426","1044960.5011","",
"Belgium","BEL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","314000000","428000000","386000000","719000000","1137000000","954600000","871790000","1274930000","1435800000","1130080000","1544780000","1386450000","1472180000","1289700000","389370000","1051490000","729860000","2354920000","5212470000","7020270000","8046730000","9362560000","11285800000","10750000000","8513580000","10688700000","14063900000","11998300000","22690500000","119692913000","88738714000","88203254000","18118954671.3727","34559267489.7083","44498165771.14","33662010793.5668","58821552824.3719","96551634531.2492","190391844688.586","77354509260.1052","125491894873.016","163624381384.585","11810272330.6794","-29640924980.1453","-15205871357.9654","-19514245854.7289","57538351507.0707","-37288840312.4529","-41601387266.7492","-30075472852.8679","",
