"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.442015317","7.052067614","12.27019624","13.83759446","15.8028887","18.14952939","18.53038293","18.90153341","","","18.61204548","18.50174417","18.20952454","","","","","",
"Africa Eastern and Southern","AFE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0614095389959254","0.112406495100231","0.13373192572462","0.145390609718297","0.180793682039157","0.197978030949248","0.29452635438881","0.354239756744278","0.457200827987643","0.54037781968614","0.519799225324479","0.513050810283371","0.544641692243999","0.696897405090322","0.762449186651189","",
"Afghanistan","AFG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000808843","0.000857557","0.001891571","0.001844982","0.001803604","0.00352177","0.005139537","","0.004813651","0.004648339","0.004494948","0.020535484","0.024873504","0.025297475","0.043040552","0.051740516","0.068253606",
"Africa Western and Central","AFW","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0102164555491789","","0.0497949957743428","0.0649220463284784","0.0773979183335294","0.107399387252273","","0.110297235631765","0.108219428955186","0.135123015538613","0.145258497404807","0.242682760660916","0.238495064441612","0.274411765822325","0.293160119023724","0.437916051219829",
"Angola","AGO","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.037012589","0.0559665","0.073480222","0.066624379","0.064222649","0.06530375","0.081695302","0.085648015","0.325702323","0.550742009","0.293747187","0.325048666","0.355604536","0.374130075","0.70166157",
"Albania","ALB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.008811686","","0.329598108","2.131430676","3.094467361","3.579992422","4.377871687","5.493573307","6.286818262","7.180321133","8.402314745","9.228640975","10.52684499","12.55565885","15.1407347","17.68495137",
"Andorra","AND","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.638852803","4.920608893","8.239336866","13.11194796","18.04600398","22.40578588","24.65002027","27.16100541","29.01396109","30.762893","32.64100355","34.33530592","36.31979599","39.34573329","42.03267915","44.52409709","46.31197569","47.13126442","",
"Arab World","ARB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.146410109391369","0.308235375617267","0.493235367076755","0.873787503352866","1.27519129645892","1.965220450212","2.10104319060603","2.67567919601142","3.03805359133301","2.80361661508457","3.34601834103202","5.1050823915082","5.54587906430895","6.96032913349187","7.68261079723202","8.58514427760634","9.71554300630218",
"United Arab Emirates","ARE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.012373425","0.062953445","0.253548667","0.478099056","0.817013889","1.379993462","2.818519144","4.539850956","6.156751077","7.864842689","8.720368324","9.202562623","9.690282881","10.44662223","11.32794298","11.84873307","13.32678751","13.86163628","29.11110893","31.40460882","31.17494457","32.81083014",
"Argentina","ARG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.252175334","0.392763085","0.679610106","1.410369414","2.382751765","4.030842244","6.551710192","7.771278857","8.672885869","9.850015718","11.0647814","12.33040075","14.81423726","15.29042819","15.91589272","16.66727115","17.84999661","19.10152239","19.63610555","21.17800217",
"Armenia","ARM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000196677","0.00026368","0.000331353","0.033325335","0.066750099","","0.132986976","0.474580911","1.381119438","3.252541689","5.582161612","7.352142718","8.388287086","9.369734814","9.786833464","10.18921762","10.7076869","11.7709355","13.04053682","14.52486347",
"American Samoa","ASM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.068810994","7.120849445","1.863271426","2.696784329","5.838612598","18.46079358","8.087199527","6.72246311","14.45652535","17.09755671","11.61815864","10.68764295","9.7972008","9.431391864","","","",
